Wall time,Step,Value
1511260088.6651793,150,8.867640495300293
1511260153.7085936,475,8.843989372253418
1511260177.0265965,625,8.832650184631348
1511260241.0432343,1025,8.825841903686523
1511260249.158149,1075,8.835409164428711
1511260261.4936671,1150,8.805030822753906
1511260293.9466906,1350,8.804190635681152
1511260306.1968043,1425,8.779723167419434
1511260379.0010345,1800,8.819938659667969
1511260394.7311149,1875,8.772455215454102
1511260499.3571343,2375,8.788945198059082
1511260541.0485775,2575,8.780627250671387
1511260561.9031045,2675,8.790399551391602
1511260666.2844849,3175,8.759865760803223
1511260734.09123,3500,8.766508102416992
1511260787.1481318,3775,8.734230041503906
1511260809.856838,3900,8.764375686645508
1511260822.2583334,3975,8.742465019226074
1511261158.959534,4200,8.773980140686035
1511261209.135584,4475,8.782975196838379
1511261229.4415975,4600,8.753120422363281
1511261239.2716136,4650,8.764789581298828
1511261244.0087867,4675,8.731267929077148
1511261262.2655892,4775,8.784914016723633
1511261298.3823524,4975,8.74221134185791
1511261331.6441665,5200,8.787793159484863
1511261353.6247628,5325,8.746328353881836
1511261398.7720377,5600,8.71634292602539
1511261423.9057882,5750,8.738738059997559
1511261444.1573458,5875,8.73303508758545
1511261513.615932,6250,8.759953498840332
1511261539.842339,6400,8.712968826293945
1511261564.080611,6525,8.742650985717773
1511261593.4839635,6700,8.710320472717285
1511261612.4872465,6800,8.779104232788086
1511261620.8900273,6850,8.692667007446289
1511261705.5264852,7325,8.684182167053223
1511261729.598547,7450,8.760062217712402
1511261755.7675135,7600,8.769654273986816
1511261779.5712225,7725,8.70809268951416
1511261789.089614,7775,8.755619049072266
1511261823.068207,7975,8.727952003479004
1511262157.3271701,8275,8.761209487915039
1511262200.3981917,8500,8.719334602355957
1511262241.505755,8700,8.752639770507812
1511262321.959417,9100,8.74620246887207
1511262342.508489,9200,8.741447448730469
1511262393.8027825,9450,8.730931282043457
1511262624.24252,10550,8.74528980255127
1511262629.3680818,10575,8.751823425292969
1511262715.2639387,11000,8.72589111328125
1511262725.8798316,11050,8.744519233703613
1511262731.1978273,11075,8.752939224243164
1511262747.1553624,11150,8.73021125793457
