Wall time,Step,Value
1511378248.9015555,150,6.150999546051025
1511378309.7644746,475,5.867489814758301
1511378337.9455273,625,5.719831943511963
1511378411.6239152,1025,5.594280242919922
1511378420.89314,1075,5.745174407958984
1511378434.9401097,1150,5.521655082702637
1511378472.046544,1350,5.498947620391846
1511378486.1797915,1425,5.2663702964782715
1511378556.2102823,1800,5.612131595611572
1511378569.3861842,1875,5.187963008880615
1511378660.3441243,2375,5.292079448699951
1511378694.770796,2575,5.16438102722168
1511378713.0188613,2675,5.305452823638916
1511378804.5931554,3175,5.02458381652832
1511378865.1093218,3500,5.08577299118042
1511378914.7581449,3775,4.684333324432373
1511378938.0893247,3900,5.054625034332275
1511378951.6999831,3975,4.8232502937316895
1511379280.6049085,4200,5.10187292098999
1511379330.0465016,4475,5.246766090393066
1511379353.2848284,4600,4.967799663543701
1511379362.6143994,4650,5.074609756469727
1511379367.3234615,4675,4.730849266052246
1511379386.0757535,4775,5.2253737449646
1511379421.1987267,4975,4.804141044616699
1511379461.4243422,5200,5.246003150939941
1511379481.9241853,5325,4.8206586837768555
1511379529.855656,5600,4.550095558166504
1511379556.4736552,5750,4.811165809631348
1511379578.3230934,5875,4.7671051025390625
1511379646.0558403,6250,4.953047275543213
1511379673.1422791,6400,4.518598556518555
1511379696.1475465,6525,4.808202743530273
1511379728.046734,6700,4.5050249099731445
1511379746.5324888,6800,5.1827497482299805
1511379755.8201437,6850,4.271302223205566
1511379841.0506473,7325,4.307338714599609
1511379864.3571386,7450,5.006659507751465
1511379889.9407978,7600,5.020662307739258
1511379911.2811768,7725,4.46725606918335
1511379920.5522594,7775,4.951711177825928
1511379957.6656902,7975,4.674389839172363
1511380258.1576571,8275,4.9833664894104
1511380299.380274,8500,4.563840389251709
1511380328.7754843,8700,4.888941287994385
1511380402.1558049,9100,4.852300643920898
1511380419.9189968,9200,4.767434120178223
1511380465.680171,9450,4.715485572814941
1511380664.8584523,10550,4.844428062438965
1511380669.2391589,10575,4.931478023529053
1511380746.8082838,11000,4.705026626586914
1511380756.2347276,11050,4.8290324211120605
1511380760.8086495,11075,4.93196964263916
1511380774.427587,11150,4.660181045532227
1511380838.3153367,11525,4.383674144744873
1511380850.6006439,11600,4.865131855010986
1511380855.0127914,11625,4.48530912399292
1511380900.4746075,11875,4.695716857910156
1511381223.4315712,12300,4.728847980499268
1511381232.8216577,12350,3.933187484741211
1511381324.7086167,12875,4.6910881996154785
1511381338.4403353,12950,4.532595157623291
1511381373.7424672,13150,4.518284797668457
1511381397.594933,13300,4.5755295753479
1511381406.9074316,13350,4.646894454956055
1511381421.1654446,13425,4.651716232299805
1511381449.1151946,13575,4.792579650878906
1511381472.391611,13700,4.878446578979492
1511381519.078594,13950,4.808405876159668
1511381547.2254534,14100,4.723088264465332
1511381592.1294246,14350,4.967828750610352
1511381619.555508,14500,4.214276313781738
1511381628.7692995,14550,4.71885347366333
1511381652.3005984,14675,4.809210777282715
1511381656.9433765,14700,4.343127727508545
1511381726.7241356,15075,4.380165100097656
1511381810.1475108,15525,4.850428104400635
1511381819.5069702,15575,4.75921630859375
1511381871.960365,15875,4.441682815551758
1511382146.1860383,16050,4.578829765319824
1511382150.5621772,16075,4.895318031311035
1511382159.6549258,16125,4.475261211395264
1511382173.3893921,16200,4.5299763679504395
1511382183.062782,16250,4.691315174102783
1511382238.3570902,16550,4.585668563842773
1511382252.3364801,16625,4.657134056091309
1511382271.1706882,16725,4.783952713012695
1511382285.100702,16800,4.409795761108398
1511382298.84561,16875,4.789169788360596
1511382317.6652358,16975,4.629855632781982
1511382340.7313385,17100,4.594048976898193
1511382363.9571087,17225,4.085996150970459
1511382474.2126176,17875,4.508819103240967
1511382490.4071763,17975,4.715750694274902
1511382507.378207,18075,4.543471813201904
1511382511.9774444,18100,4.521297454833984
1511382544.6011677,18275,4.822287559509277
1511382585.8519182,18500,4.710133075714111
1511382604.5555499,18600,4.608421325683594
1511382623.278044,18700,4.66012716293335
1511382644.2274318,18825,4.456150054931641
1511382662.8354337,18925,4.390391826629639
1511382704.1257682,19150,4.821762561798096
1511382722.3578258,19250,4.485644340515137
1511382726.8892508,19275,4.470338344573975
1511382731.5298321,19300,4.477471828460693
1511382740.9595048,19350,4.835575580596924
1511382773.8853633,19525,4.946847438812256
1511382796.695558,19650,4.4940900802612305
1511382806.0680091,19700,4.536323070526123
1511382829.1967719,19825,4.525883197784424
1511382838.2956657,19875,4.503499984741211
1511382856.1339135,19975,4.64467716217041
1511383119.961699,20075,4.58741569519043
1511383147.9072244,20225,4.712356090545654
1511383152.449681,20250,4.75924825668335
1511383256.624568,20825,4.831442832946777
1511383273.2965832,20925,4.809628963470459
1511383411.851151,21750,4.4151201248168945
1511383435.0855122,21875,4.690951347351074
1511383444.2974093,21925,4.416049003601074
1511383469.479041,22075,4.12858772277832
1511383506.561724,22275,4.521035194396973
1511383534.6180022,22425,4.4043288230896
1511383551.3465648,22525,4.506286144256592
1511383582.0175025,22700,4.566705703735352
1511383591.1069126,22750,4.55534553527832
1511383619.06156,22900,4.532036304473877
1511383628.0744572,22950,4.461278438568115
1511383691.350872,23300,4.407376289367676
1511383695.9130998,23325,4.437358856201172
1511383742.394777,23575,4.458602428436279
1511383756.0483558,23650,4.313007831573486
1511383795.0854394,23875,4.814094066619873
1511383813.6740863,23975,4.592844486236572
1511384076.6932876,24075,4.4388651847839355
