Wall time,Step,Value
1512392138.593974,108125,4.999999873689376e-05
1512392144.1215742,108150,4.999999873689376e-05
1512392171.5915213,108275,4.999999873689376e-05
1512392187.9848702,108350,4.999999873689376e-05
1512392193.376956,108375,4.999999873689376e-05
1512392209.4373229,108450,4.999999873689376e-05
1512392214.8863118,108475,4.999999873689376e-05
1512392220.2645018,108500,4.999999873689376e-05
1512392242.1951692,108600,4.999999873689376e-05
1512392307.629981,108900,4.999999873689376e-05
1512392329.5293388,109000,4.999999873689376e-05
1512392340.4103482,109050,4.999999873689376e-05
1512392351.1629908,109100,4.999999873689376e-05
1512392356.66371,109125,4.999999873689376e-05
1512392367.4821427,109175,4.999999873689376e-05
1512392400.2043376,109325,4.999999873689376e-05
1512392405.6261613,109350,4.999999873689376e-05
1512392411.2032554,109375,4.999999873689376e-05
1512392416.5583448,109400,4.999999873689376e-05
1512392422.0163398,109425,4.999999873689376e-05
1512392454.3820546,109575,4.999999873689376e-05
1512392465.308692,109625,4.999999873689376e-05
1512392476.1609309,109675,4.999999873689376e-05
1512392481.5379932,109700,4.999999873689376e-05
1512392497.8734365,109775,4.999999873689376e-05
1512392503.162851,109800,4.999999873689376e-05
1512392508.5450618,109825,4.999999873689376e-05
1512392513.9808521,109850,4.999999873689376e-05
1512392540.8587325,109975,4.999999873689376e-05
1512392567.9237328,110100,4.999999873689376e-05
1512392584.1927962,110175,4.999999873689376e-05
1512392589.6137776,110200,4.999999873689376e-05
1512392622.2249737,110350,4.999999873689376e-05
1512392665.6758227,110550,4.999999873689376e-05
1512392681.8808134,110625,4.999999873689376e-05
1512392687.492967,110650,4.999999873689376e-05
1512392725.5954819,110825,4.999999873689376e-05
1512392741.782349,110900,4.999999873689376e-05
1512392752.9622822,110950,4.999999873689376e-05
1512392791.5191777,111125,4.999999873689376e-05
1512392796.9145217,111150,4.999999873689376e-05
1512392813.2031648,111225,4.999999873689376e-05
1512392818.6449077,111250,4.999999873689376e-05
1512392856.804665,111425,4.999999873689376e-05
1512392867.8858557,111475,4.999999873689376e-05
1512392878.7560294,111525,4.999999873689376e-05
1512392884.195366,111550,4.999999873689376e-05
1512392889.5638678,111575,4.999999873689376e-05
1512392927.7565079,111750,4.999999873689376e-05
1512392955.1381247,111875,4.999999873689376e-05
1512392966.0673869,111925,4.999999873689376e-05
1512392971.5272298,111950,4.999999873689376e-05
1512393267.2771797,112050,4.999999873689376e-05
1512393294.4041116,112175,4.999999873689376e-05
1512393299.8877606,112200,4.999999873689376e-05
1512393316.1978335,112275,4.999999873689376e-05
1512393348.9341555,112425,4.999999873689376e-05
1512393354.356071,112450,4.999999873689376e-05
1512393365.2580197,112500,4.999999873689376e-05
1512393381.7439022,112575,4.999999873689376e-05
1512393392.5560284,112625,4.999999873689376e-05
1512393397.947347,112650,4.999999873689376e-05
1512393408.7077727,112700,4.999999873689376e-05
1512393419.546025,112750,4.999999873689376e-05
1512393425.1133826,112775,4.999999873689376e-05
1512393462.939801,112950,4.999999873689376e-05
1512393506.5439034,113150,4.999999873689376e-05
1512393511.9029179,113175,4.999999873689376e-05
1512393517.3396685,113200,4.999999873689376e-05
1512393539.1354458,113300,4.999999873689376e-05
1512393593.6334896,113550,4.999999873689376e-05
1512393599.0740438,113575,4.999999873689376e-05
1512393609.8465831,113625,4.999999873689376e-05
1512393632.025033,113725,4.999999873689376e-05
1512393648.176716,113800,4.999999873689376e-05
1512393653.577134,113825,4.999999873689376e-05
1512393659.0602307,113850,4.999999873689376e-05
1512393675.6104097,113925,4.999999873689376e-05
1512393741.0607824,114225,4.999999873689376e-05
1512393773.6220455,114375,4.999999873689376e-05
1512393790.1477416,114450,4.999999873689376e-05
1512393801.0677583,114500,4.999999873689376e-05
1512393806.4978645,114525,4.999999873689376e-05
1512393817.2972355,114575,4.999999873689376e-05
1512393839.239386,114675,4.999999873689376e-05
1512393860.9453664,114775,4.999999873689376e-05
1512393871.8794293,114825,4.999999873689376e-05
1512393899.1901255,114950,4.999999873689376e-05
1512393931.647182,115100,4.999999873689376e-05
1512393969.7057426,115275,4.999999873689376e-05
1512393975.1551478,115300,4.999999873689376e-05
1512394002.5540605,115425,4.999999873689376e-05
1512394008.0323808,115450,4.999999873689376e-05
1512394029.7160232,115550,4.999999873689376e-05
1512394035.1756797,115575,4.999999873689376e-05
1512394056.9871633,115675,4.999999873689376e-05
1512394062.6569743,115700,4.999999873689376e-05
1512394073.3807814,115750,4.999999873689376e-05
1512394089.7060168,115825,4.999999873689376e-05
1512394116.5851161,115950,4.999999873689376e-05
1512394122.2300777,115975,4.999999873689376e-05
1512394127.602537,116000,4.999999873689376e-05
1512394425.0236776,116125,4.999999873689376e-05
1512394430.428268,116150,4.999999873689376e-05
1512394435.8297763,116175,4.999999873689376e-05
1512394451.9807212,116250,4.999999873689376e-05
1512394501.0606856,116475,4.999999873689376e-05
1512394511.914099,116525,4.999999873689376e-05
1512394533.564967,116625,4.999999873689376e-05
1512394544.6294878,116675,4.999999873689376e-05
1512394550.0490046,116700,4.999999873689376e-05
1512394577.1612062,116825,4.999999873689376e-05
1512394582.5594585,116850,4.999999873689376e-05
1512394615.4071517,117000,4.999999873689376e-05
1512394631.6478257,117075,4.999999873689376e-05
1512394653.2645469,117175,4.999999873689376e-05
1512394674.8528168,117275,4.999999873689376e-05
1512394685.9875414,117325,4.999999873689376e-05
1512394707.662781,117425,4.999999873689376e-05
1512394713.0761423,117450,4.999999873689376e-05
1512394718.5459466,117475,4.999999873689376e-05
1512394729.4553103,117525,4.999999873689376e-05
1512394756.848548,117650,4.999999873689376e-05
1512394762.2228727,117675,4.999999873689376e-05
1512394783.8675594,117775,4.999999873689376e-05
1512394789.2250118,117800,4.999999873689376e-05
1512394794.6774323,117825,4.999999873689376e-05
1512394876.4912174,118200,4.999999873689376e-05
1512394914.8830488,118375,4.999999873689376e-05
1512394920.283957,118400,4.999999873689376e-05
1512394947.3425195,118525,4.999999873689376e-05
1512394952.6958656,118550,4.999999873689376e-05
1512394963.506605,118600,4.999999873689376e-05
1512394974.8029864,118650,4.999999873689376e-05
1512394996.5078542,118750,4.999999873689376e-05
1512395045.3796566,118975,4.999999873689376e-05
1512395056.6319134,119025,4.999999873689376e-05
1512395062.070026,119050,4.999999873689376e-05
1512395078.2800336,119125,4.999999873689376e-05
1512395110.9166515,119275,4.999999873689376e-05
1512395155.1862462,119475,4.999999873689376e-05
1512395160.6050575,119500,4.999999873689376e-05
1512395176.9051447,119575,4.999999873689376e-05
1512395182.4253948,119600,4.999999873689376e-05
1512395198.571359,119675,4.999999873689376e-05
1512395203.967897,119700,4.999999873689376e-05
1512395231.4286435,119825,4.999999873689376e-05
1512395236.854313,119850,4.999999873689376e-05
1512395565.8820302,120125,4.999999873689376e-05
1512395582.0449522,120200,4.999999873689376e-05
1512395587.4778872,120225,4.999999873689376e-05
1512395598.2743518,120275,4.999999873689376e-05
1512395609.743869,120325,4.999999873689376e-05
1512395625.7429578,120400,4.999999873689376e-05
1512395684.8727195,120675,4.999999873689376e-05
1512395712.3013055,120800,4.999999873689376e-05
1512395723.2606938,120850,4.999999873689376e-05
1512395739.404345,120925,4.999999873689376e-05
1512395750.1610577,120975,4.999999873689376e-05
1512395777.66873,121100,4.999999873689376e-05
1512395783.1103506,121125,4.999999873689376e-05
1512395815.4315586,121275,4.999999873689376e-05
1512395826.2817202,121325,4.999999873689376e-05
1512395831.6845248,121350,4.999999873689376e-05
1512395842.387598,121400,4.999999873689376e-05
1512395847.764566,121425,4.999999873689376e-05
1512395853.1720145,121450,4.999999873689376e-05
1512395864.1533365,121500,4.999999873689376e-05
1512395875.6430979,121550,4.999999873689376e-05
1512395902.8813882,121675,4.999999873689376e-05
