Wall time,Step,Value
1512392138.5880902,108125,2.4014945030212402
1512392144.1156867,108150,2.776698589324951
1512392171.5861096,108275,5.477534294128418
1512392187.979111,108350,5.726186752319336
1512392193.3712068,108375,5.533466815948486
1512392209.4315233,108450,5.855040073394775
1512392214.880546,108475,6.209072589874268
1512392220.2587616,108500,5.946874141693115
1512392242.1893747,108600,6.008103370666504
1512392307.6242263,108900,5.902493953704834
1512392329.5235856,109000,5.975285053253174
1512392340.4059231,109050,5.7691545486450195
1512392351.1566415,109100,5.768864631652832
1512392356.6579542,109125,6.045421600341797
1512392367.476382,109175,5.762326717376709
1512392400.1986358,109325,5.649276256561279
1512392405.621369,109350,5.724079132080078
1512392411.1962838,109375,5.458795547485352
1512392416.5523584,109400,5.780106067657471
1512392422.010498,109425,5.930469036102295
1512392454.3758454,109575,5.724262237548828
1512392465.302907,109625,5.881536483764648
1512392476.1548104,109675,5.725751876831055
1512392481.5322344,109700,5.982457160949707
1512392497.8672502,109775,5.7348198890686035
1512392503.157079,109800,5.7479166984558105
1512392508.5393255,109825,5.52569580078125
1512392513.974607,109850,5.6470866203308105
1512392540.8533025,109975,5.521306037902832
1512392567.9179738,110100,5.773345470428467
1512392584.1869855,110175,5.9847092628479
1512392589.6076167,110200,5.456904411315918
1512392622.218833,110350,5.325531005859375
1512392665.6694484,110550,5.609115123748779
1512392681.8750837,110625,5.4236321449279785
1512392687.4872344,110650,5.506145000457764
1512392725.589666,110825,5.56660270690918
1512392741.7764058,110900,5.365159034729004
1512392752.9571886,110950,5.472962379455566
1512392791.51309,111125,5.580511093139648
1512392796.9087994,111150,5.4007744789123535
1512392813.197016,111225,5.51111364364624
1512392818.6388018,111250,5.420950412750244
1512392856.8000703,111425,5.35403299331665
1512392867.8800662,111475,5.402116775512695
1512392878.7502685,111525,5.522502422332764
1512392884.1892922,111550,5.298003196716309
1512392889.5592368,111575,5.282224178314209
1512392927.7500672,111750,5.227504253387451
1512392955.1321967,111875,5.435970306396484
1512392966.061236,111925,5.4946746826171875
1512392971.5214531,111950,5.3990020751953125
