Wall time,Step,Value
1512392138.5815513,108125,13.2637939453125
1512392144.1096337,108150,12.621087074279785
1512392171.5797892,108275,10.837662696838379
1512392187.9729826,108350,10.84410572052002
1512392193.3648,108375,10.266680717468262
1512392209.4254992,108450,9.841958045959473
1512392214.8742907,108475,9.739022254943848
1512392220.2526863,108500,9.725079536437988
1512392242.1833618,108600,9.340890884399414
1512392307.6182494,108900,8.932273864746094
1512392329.5176177,109000,8.926640510559082
1512392340.4011407,109050,8.890020370483398
1512392351.1508768,109100,8.890064239501953
1512392356.6522014,109125,8.925565719604492
1512392367.4704914,109175,8.868785858154297
1512392400.192219,109325,8.854869842529297
1512392405.6165254,109350,8.849839210510254
1512392411.190191,109375,8.819130897521973
1512392416.5462053,109400,8.850913047790527
1512392422.0042794,109425,8.871249198913574
1512392454.3698661,109575,8.840208053588867
1512392465.297,109625,8.875869750976562
1512392476.1486635,109675,8.84476089477539
1512392481.5262768,109700,8.867616653442383
1512392497.861094,109775,8.840089797973633
1512392503.1511328,109800,8.83815860748291
1512392508.5332813,109825,8.814170837402344
1512392513.9683309,109850,8.842881202697754
1512392540.8470778,109975,8.812646865844727
1512392567.9118118,110100,8.833333015441895
1512392584.180957,110175,8.876603126525879
1512392589.6011662,110200,8.801457405090332
1512392622.2127059,110350,8.793976783752441
1512392665.6636322,110550,8.823566436767578
1512392681.8689594,110625,8.795348167419434
1512392687.4809797,110650,8.811220169067383
1512392725.5835063,110825,8.810256004333496
1512392741.770304,110900,8.793095588684082
1512392752.9518015,110950,8.812832832336426
1512392791.5069087,111125,8.818867683410645
1512392796.9028273,111150,8.791107177734375
1512392813.1909623,111225,8.808948516845703
1512392818.6326394,111250,8.793859481811523
1512392856.7953095,111425,8.78463077545166
1512392867.8739972,111475,8.798410415649414
1512392878.7440703,111525,8.809748649597168
1512392884.1830063,111550,8.783910751342773
1512392889.554286,111575,8.787642478942871
1512392927.7436492,111750,8.770455360412598
1512392955.1263735,111875,8.809226989746094
1512392966.055002,111925,8.808144569396973
1512392971.5158353,111950,8.793028831481934
1512393267.265693,112050,8.773921966552734
1512393294.3926392,112175,8.7881498336792
1512393299.8755693,112200,8.756956100463867
1512393316.1878104,112275,8.754647254943848
1512393348.923873,112425,8.791807174682617
1512393354.3446007,112450,8.793466567993164
1512393365.248092,112500,8.78127670288086
1512393381.7322974,112575,8.787717819213867
1512393392.5493898,112625,8.784576416015625
1512393397.9374785,112650,8.808684349060059
1512393408.696043,112700,8.764348030090332
1512393419.53611,112750,8.77220630645752
1512393425.1035094,112775,8.775936126708984
1512393462.929831,112950,8.757087707519531
1512393506.5341287,113150,8.776263236999512
1512393511.8928704,113175,8.796371459960938
1512393517.3293345,113200,8.76579475402832
1512393539.1253,113300,8.770529747009277
1512393593.6236897,113550,8.769303321838379
1512393599.063924,113575,8.74259090423584
1512393609.8366961,113625,8.761054039001465
1512393632.0148802,113725,8.791688919067383
1512393648.1665432,113800,8.771649360656738
1512393653.5671763,113825,8.772881507873535
1512393659.0503612,113850,8.73291015625
1512393675.600563,113925,8.773578643798828
1512393741.0508888,114225,8.757075309753418
1512393773.611656,114375,8.817522048950195
1512393790.1378965,114450,8.754420280456543
1512393801.0578616,114500,8.745752334594727
