Wall time,Step,Value
1511378248.8974125,150,8.837533950805664
1511378309.7599716,475,8.81575870513916
1511378337.9410017,625,8.805381774902344
1511378411.6216824,1025,8.800407409667969
1511378420.888715,1075,8.809686660766602
1511378434.9377186,1150,8.776927947998047
1511378472.042262,1350,8.776541709899902
1511378486.175283,1425,8.751290321350098
1511378556.2081878,1800,8.793803215026855
1511378569.3819077,1875,8.743480682373047
1511378660.3396604,2375,8.762677192687988
1511378694.7664986,2575,8.752463340759277
1511378713.0142038,2675,8.763152122497559
1511378804.5888555,3175,8.731962203979492
1511378865.1049275,3500,8.739666938781738
1511378914.752777,3775,8.710190773010254
1511378938.0869708,3900,8.737811088562012
1511378951.6956365,3975,8.716940879821777
1511379280.6005151,4200,8.750279426574707
1511379330.0423882,4475,8.758891105651855
1511379353.2807236,4600,8.727355003356934
1511379362.6091979,4650,8.736937522888184
1511379367.3188965,4675,8.706335067749023
1511379386.0712428,4775,8.760697364807129
1511379421.1943643,4975,8.717615127563477
1511379461.420572,5200,8.763957977294922
1511379481.919979,5325,8.7186861038208
1511379529.8515882,5600,8.690260887145996
1511379556.469476,5750,8.711301803588867
1511379578.320992,5875,8.707683563232422
1511379646.0513453,6250,8.73397159576416
1511379673.1378462,6400,8.685140609741211
1511379696.1432946,6525,8.717397689819336
1511379728.043238,6700,8.683856010437012
1511379746.528076,6800,8.75551700592041
1511379755.8158417,6850,8.665315628051758
1511379841.0461495,7325,8.656013488769531
1511379864.3539395,7450,8.73581314086914
1511379889.938696,7600,8.744196891784668
1511379911.2765825,7725,8.681689262390137
1511379920.5479586,7775,8.727761268615723
1511379957.6612837,7975,8.701441764831543
1511380258.1532702,8275,8.736468315124512
1511380299.3758569,8500,8.691925048828125
1511380328.7698066,8700,8.725625038146973
1511380402.1537206,9100,8.721147537231445
1511380419.9145715,9200,8.715014457702637
1511380465.6780577,9450,8.706317901611328
1511380664.8541217,10550,8.718029022216797
1511380669.2339888,10575,8.727120399475098
1511380746.8039262,11000,8.700848579406738
1511380756.230291,11050,8.721529960632324
1511380760.8056183,11075,8.726621627807617
1511380774.4233015,11150,8.705615043640137
1511380838.3132157,11525,8.666268348693848
1511380850.5965052,11600,8.715825080871582
1511380855.008434,11625,8.682064056396484
1511380900.4708667,11875,8.704607963562012
1511381223.425055,12300,8.706319808959961
1511381232.8174672,12350,8.628094673156738
1511381324.7043192,12875,8.702123641967773
1511381338.4359806,12950,8.68704605102539
1511381373.7403672,13150,8.683219909667969
1511381397.5904748,13300,8.691588401794434
1511381406.9028828,13350,8.696625709533691
1511381421.1610537,13425,8.698539733886719
1511381449.1106572,13575,8.713311195373535
1511381472.3872077,13700,8.717167854309082
1511381519.0741487,13950,8.7117280960083
1511381547.221004,14100,8.708308219909668
1511381592.125022,14350,8.736903190612793
1511381619.5513904,14500,8.655163764953613
1511381628.764908,14550,8.71337604522705
1511381652.2970266,14675,8.714539527893066
1511381656.9393463,14700,8.665382385253906
1511381726.7195907,15075,8.667227745056152
1511381810.1439004,15525,8.724236488342285
1511381819.5031693,15575,8.709678649902344
1511381871.9582593,15875,8.676959991455078
1511382146.1814182,16050,8.691060066223145
1511382150.5587897,16075,8.722819328308105
1511382159.6504624,16125,8.681626319885254
1511382173.3849614,16200,8.693028450012207
1511382183.058228,16250,8.704330444335938
1511382238.3528385,16550,8.694151878356934
1511382252.3328695,16625,8.699324607849121
1511382271.166414,16725,8.714948654174805
1511382285.0973916,16800,8.673004150390625
1511382298.8410761,16875,8.714564323425293
1511382317.660892,16975,8.693709373474121
1511382340.726932,17100,8.696351051330566
1511382363.9520326,17225,8.631433486938477
1511382474.210143,17875,8.684321403503418
1511382490.4048812,17975,8.709739685058594
1511382507.3739164,18075,8.688395500183105
1511382511.9729643,18100,8.682616233825684
1511382544.5968647,18275,8.718544006347656
1511382585.8497431,18500,8.70562744140625
1511382604.5511563,18600,8.69323444366455
1511382623.2735524,18700,8.70296859741211
1511382644.2238653,18825,8.681806564331055
1511382662.8312511,18925,8.669693946838379
1511382704.1213033,19150,8.722352981567383
1511382722.3537009,19250,8.685870170593262
1511382726.884812,19275,8.678426742553711
